"type","route","crag","sector","grade","date","comment","commentRich","quality","style","country","region"
"boulder","Riot act","Unknown Crag","","8B","2016-02-27","One of the craziest moments ever! After 4 days of hard training, as last training session, we arrived to FJ at 8:30 PM. At 11.30 PM, Martin Stranik sent this incredible prow, I followed after many punted tries at 00:30 AM with the last ditch effort. Probably not 8B+ though.","One of the craziest moments ever! After 4 days of hard training, as last training session, we arrived to FJ at 8:30 PM. At 11.30 PM, Martin Stranik sent this incredible prow, I followed after many punted tries at 00:30 AM with the last ditch effort. Probably not 8B+ though.","mega classic","redpoint","germany","Frankenjura"
"boulder","don't get too greedy","Unknown Crag","","8B","2015-06-07","","","mega classic","flash","united states","RMNP (CO)"
"boulder","Bear Toss","Veritas","","8B","2015-06-01","Should have been a restday, but I couln't resist and had give it a go. Felt soft, but i haven't bouldered for ages, may just fit me well","Should have been a restday, but I couln't resist and had give it a go. Felt soft, but i haven't bouldered for ages, may just fit me well","mega classic","flash","united states","RMNP (CO)"
"boulder","La Stanza dei segreti","Unknown Crag","","8B","2015-05-03","#FA                FA after break, hard to grade this thing, pretty morpho, but amazing moves","#FA FA after break, hard to grade this thing, pretty morpho, but amazing moves","mega classic","redpoint","italy","Val di Mello"
"boulder","Krkavec","Vysoke Tatry","zlomiskova doliam","8B","2014-08-16","#FA                Loong hike but nice be up in the mountains bouldering after a long time","#FA Loong hike but nice be up in the mountains bouldering after a long time","mega classic","redpoint","slovakia",""
"boulder","Autosil","Moravský kras","sloup","8B","2014-06-01","","","","redpoint","czech republic",""
"boulder","H1N1","Moravský kras","stare skaly","8B","2013-10-07","#FA","#FA","mega classic","redpoint","czech republic",""
"boulder","Sviní Mor","Moravský kras","sloup","8B","2013-09-29","#FA                poweful","#FA poweful","very good","redpoint","czech republic",""
"boulder","Idefix","Moravský kras","sloup","8B","2013-09-26","sit start","sit start","very good","redpoint","czech republic",""
"boulder","N.N.","Kesslerloch","","8B","2013-03-24","in the roof where Abyss is located. However, I couldn't find thee line of Abyss, so I started far left deep in the cave, went right and climbed the central comperssion line into the rail. THis could be 8B.","in the roof where Abyss is located. However, I couldn't find thee line of Abyss, so I started far left deep in the cave, went right and climbed the central comperssion line into the rail. THis could be 8B.","mega classic","redpoint","switzerland",""
"boulder","Eau Profond","Kesslerloch","","8B","2013-03-24","#2go               Such a punter falling from the flash...","#2go Such a punter falling from the flash...","very good","redpoint","switzerland",""
"boulder","Springflo","Stem Bastensen, Lofoten","","8B","2012-08-03","3rd go, but why did I punt out flash?!","3rd go, but why did I punt out flash?!","very good","redpoint","norway",""
"boulder","Rough Gem","Heilt Rå-steinen, Lofoten","","8B","2012-08-02","What a line, 2nd ascent. Almost sent it first go, then getting worse and worse and then found a bit easier beta fortunately. a bit sharp but worth the line!","What a line, 2nd ascent. Almost sent it first go, then getting worse and worse and then found a bit easier beta fortunately. a bit sharp but worth the line!","","redpoint","norway",""
"boulder","Opily korab","Petrohrad","sklarna","8B","2012-04-29","#FA                hard crimping with uncontrolled dynamic move to sloper","#FA hard crimping with uncontrolled dynamic move to sloper","mega classic","redpoint","czech republic",""
"boulder","Gecko assis","Bouligny","","8B","2011-12-11","a notorious dilemma with the grade, fits perfectly my style, height and conditions were awesome. Buit the second climbing day, a bit tired and not fully on the limit. I would love to record it as 8B+, but it just did not feel like 8B+... that is my feeling","a notorious dilemma with the grade, fits perfectly my style, height and conditions were awesome. Buit the second climbing day, a bit tired and not fully on the limit. I would love to record it as 8B+, but it just did not feel like 8B+... that is my feeling","mega classic","flash","france","Fontainebleau"
"boulder","L'Apparemment en départ bas","Apremont","","8B","2011-12-10","awesome","awesome","mega classic","redpoint","france","Fontainebleau"
"boulder","Satan i helvete","Unknown Crag","","8B","2011-12-08","felt really easy, but it fits perfectly my style and height. a cople of tries but the crimp on the arete was wet","felt really easy, but it fits perfectly my style and height. a cople of tries but the crimp on the arete was wet","mega classic","redpoint","france","Fontainebleau"
"boulder","Sideways Daze","Cuvier Rempart","","8B","2011-12-07","shoud have flashed, slipped just in moment when I was about to go to the lip, a couple of tries","shoud have flashed, slipped just in moment when I was about to go to the lip, a couple of tries","mega classic","redpoint","france","Fontainebleau"
"boulder","Raptor","Varazze","potala druidi virml verrev","8B","2011-11-20","what a line! Varazze deserves ore attention, 2nd ascent","what a line! Varazze deserves ore attention, 2nd ascent","mega classic","redpoint","italy",""
"boulder","Madiba","Cedar Rouge","","8B","2011-08-14","#2go               slipped off from flash burn in the second move, then sent one minute later, 8B could be all right","#2go slipped off from flash burn in the second move, then sent one minute later, 8B could be all right","mega classic","redpoint","south africa","Rocklands"
"boulder","The Power of One","Roadcrew","","8B","2011-08-09","proud of this!","proud of this!","mega classic","flash","south africa","Rocklands"
"boulder","Fakír SD","Petrohrad","","8B","2011-04-30","#FA                hard to grade, cool moves","#FA hard to grade, cool moves","mega classic","redpoint","czech republic",""
"boulder","Alphacentauri","Varazze","","8B","2011-01-31","humid","humid","mega classic","redpoint","italy",""
"boulder","gioia stand","Varazze","","8B","2011-01-28","15 mins, possibly 8A+ as Chris thought, sit is another level, 8C+ for sure","15 mins, possibly 8A+ as Chris thought, sit is another level, 8C+ for sure","mega classic","redpoint","italy",""
"boulder","N.N.","Holstejn","lidomorna","8B","2010-11-21","#FA                incredible knee bar","#FA incredible knee bar","mega classic","redpoint","czech republic",""
"boulder","Steppenwolf","Magic Wood","swiss","8B","2010-06-06","super hot!","super hot!","mega classic","redpoint","switzerland","Ticino"
"boulder","The Crack Line","Chironico","nivo bassa","8B","2010-06-01","a few goes, fell during flash in the last dyno","a few goes, fell during flash in the last dyno","very good","redpoint","switzerland","Ticino"
"boulder","Delusion of grandeur","Chironico","101","8B","2010-06-01","","","mega classic","redpoint","switzerland","Ticino"
"boulder","Einfisch Kleinfisch","Chironico","101","8B","2010-06-01","the third 8B in a day, (+ 3 8A+), in the darkness","the third 8B in a day, (+ 3 8A+), in the darkness","mega classic","redpoint","switzerland","Ticino"
"boulder","Crazy Snake","Unknown Crag","","8B","2010-05-07","#FA                amazing prow, compression","#FA amazing prow, compression","mega classic","redpoint","italy","Val di Mello"
"boulder","Listek na vecnost SD","Petrohrad","mlynsky vrch","8B","2010-04-24","#FA","#FA","mega classic","redpoint","czech republic",""
"boulder","Blackberries","Bahratal","the first","8B","2010-01-17","","","mega classic","redpoint","germany",""
"boulder","Confessions","Cresciano","la boule","8B","2009-12-20","Well, 8B+ flash sounds amazing but I can't put as 8B+, it was all too simple compared to The Dagger or La Proue. I just gave it go without expecting anything and suddenly I was on the top and did not find it very hard. But I do not say it can't be 8B+, it might have been pretty much my style or I don't know... To flash The Vice was much more difficult for me.  see Martin's comment as well.","Well, 8B+ flash sounds amazing but I can't put as 8B+, it was all too simple compared to The Dagger or La Proue. I just gave it go without expecting anything and suddenly I was on the top and did not find it very hard. But I do not say it can't be 8B+, it might have been pretty much my style or I don't know... To flash The Vice was much more difficult for me. see Martin's comment as well.","mega classic","flash","switzerland","Ticino"
"boulder","La Proue","Cresciano","la boule","8B","2009-12-20","","","mega classic","redpoint","switzerland","Ticino"
"boulder","Na Krev 2 - zabili Kennyho","Petrohrad","vetrna hurka","8B","2009-12-06","8A+/B, but solid one","8A+/B, but solid one","","redpoint","czech republic",""
"boulder","Kryton","Petrohrad","vyhlidkova skala","8B","2009-12-05","#FA                good powerful problem","#FA good powerful problem","mega classic","redpoint","czech republic",""
"boulder","Perný den","Petrohrad","vyhlidkova skala","8B","2009-12-05","sweet revenge...","sweet revenge...","very good","redpoint","czech republic",""
"boulder","Ray of Light","Campsite","","8B","2009-07-31","2 days, mental war","2 days, mental war","mega classic","redpoint","south africa","Rocklands"
"boulder","The Vice","Fortress","","8B","2009-07-30","Yes! Being angry after failure in Amandla, I flashed this one! could not have been more lucky, huge fight! thanks to Marijus for beta!","Yes! Being angry after failure in Amandla, I flashed this one! could not have been more lucky, huge fight! thanks to Marijus for beta!","mega classic","flash","south africa","Rocklands"
"boulder","Armed Response","Fortress","","8B","2009-07-30","15 mins after The Vice, totally my style","15 mins after The Vice, totally my style","mega classic","flash","south africa","Rocklands"
"boulder","Bimbo bello","Il mustru","","8B","2009-05-09","2 hours, 8B+ in the guide, for me the same as Antropos","2 hours, 8B+ in the guide, for me the same as Antropos","mega classic","redpoint","italy","Val di Mello"
"boulder","Eso Rimmer","Petrohrad","vyhlidkova skala tlama","8B","2009-03-28","maybe a bit easier, the boulder which was just humid","maybe a bit easier, the boulder which was just humid","very good","redpoint","czech republic",""
"boulder","Frodo Nakole","Petrohrad","vyhlidkova skala","8B","2008-12-14","Looks like 7B, after first tries like 8A, after neverending amounts of tries like 8C, after ascent 8B, just before snow melted","Looks like 7B, after first tries like 8A, after neverending amounts of tries like 8C, after ascent 8B, just before snow melted","mega classic","redpoint","czech republic",""
"boulder","Antropos","Val Masino","","8B","2008-05-11","3 days, maybe my the hardest","3 days, maybe my the hardest","mega classic","redpoint","italy","Val di Mello"
"boulder","Black Box","Petrohrad","petrohrad","8B","2008-03-29","to figure it out is THE MOST","to figure it out is THE MOST","mega classic","redpoint","czech republic",""
"boulder","Shadowfax","Chironico","chironico","8B","2008-03-21","30 mins","30 mins","very good","redpoint","switzerland","Ticino"
"boulder","Schule des lebens","Chironico","deliverance","8B","2008-03-20","nice jump and crimpy end, 10 mins","nice jump and crimpy end, 10 mins","very good","redpoint","switzerland","Ticino"
"boulder","pička ledovce","Holstejn","lidomorna","8B","2008-03-07","#FA                after breaking hold","#FA after breaking hold","mega classic","redpoint","czech republic",""
"boulder","Coxa Distorta","Unknown Crag","","8B","2008-02-23","8B/B+","8B/B+","mega classic","redpoint","germany","Frankenjura"
"boulder","Dášeňka","Sloup","stare skaly 82snq","8A+","2020-05-25","","","very good","redpoint","czech republic",""
"boulder","Dogma","Moravský kras","stare skaly","8A+","2020-05-25","","","","redpoint","czech republic",""
"boulder","Fénixovy Slzy","Hodonín","sklapsko","8A+","2020-05-14","","","mega classic","flash","czech republic",""
"boulder","Michelin Star","Chřiby","kominky","8A+","2020-04-27","#FA","#FA","very good","flash","czech republic",""
